Step,Body,PosX,PosY,VelX,VelY
57000,1,0.713224,-0.0966899,4.7415,34.7089
57000,2,0.357259,-0.932881,27.843,10.6477
57000,3,2.99468,4.25388,-10.6763,7.5294
57000,4,19.0456,2.58314,-0.913999,6.7385
58000,0,0,0,0,0
58000,1,0.706786,0.136328,-6.65039,34.3912
58000,2,0.535064,-0.843688,25.18,15.95
58000,3,2.9229,4.3036,-10.801,7.34913
58000,4,19.0394,2.62818,-0.92993,6.73632
59000,0,0,0,0,0
59000,1,0.625871,0.35498,-17.3463,30.4478
59000,2,0.691666,-0.721059,21.5202,20.6186
59000,3,2.85029,4.35212,-10.9226,7.1668
59000,4,19.0332,2.6732,-0.945855,6.73411
60000,0,0,0,0,0
60000,1,0.478935,0.536178,-26.2296,23.2815
60000,2,0.820868,-0.569863,17.0093,24.4689
60000,3,2.77688,4.39941,-11.0411,6.98246
60000,4,19.0268,2.7182,-0.961775,6.73186
61000,0,0,0,0,0
61000,1,0.281361,0.660666,-32.361,13.6274
61000,2,0.917564,-0.396099,11.8265,27.349
61000,3,2.70269,4.44547,-11.1565,6.79617
61000,4,19.0203,2.7632,-0.977689,6.72957
62000,0,0,0,0,0
62000,1,0.053943,0.715037,-35.0748,2.48689
62000,2,0.977936,-0.206652,6.17756,29.1456
62000,3,2.62774,4.49027,-11.2688,6.60796
62000,4,19.0137,2.80817,-0.993598,6.72725
63000,0,0,0,0,0
63000,1,-0.179204,0.69321,-34.0544,-8.96749
63000,2,0.999611,-0.00902569,0.286264,29.7884
63000,3,2.55204,4.5338,-11.3779,6.41791
63000,4,19.007,2.85313,-1.0095,6.72488
64000,0,0,0,0,0
64000,1,-0.39315,0.59719,-29.3767,-19.5097
64000,2,0.981743,0.18896,-5.61432,29.2528
64000,3,2.47563,4.57606,-11.4838,6.22605
64000,4,19.0002,2.89808,-1.0254,6.72248
65000,0,0,0,0,0
65000,1,-0.564824,0.436991,-21.5175,-27.992
65000,2,0.925052,0.379475,-11.2911,27.5608
65000,3,2.39853,4.61703,-11.5864,6.03246
65000,4,18.9933,2.94301,-1.04129,6.72005
66000,0,0,0,0,0
66000,1,-0.675567,0.229669,-11.3108,-33.4765
66000,2,0.831792,0.55499,-16.5199,24.7798
66000,3,2.32074,4.65671,-11.6858,5.83717
66000,4,18.9863,2.98792,-1.05717,6.71757
67000,0,0,0,0,0
67000,1,-0.713259,-0.00247734,0.138361,-35.3489
67000,2,0.705657,0.708572,-21.0947,21.0202
67000,3,2.24231,4.69507,-11.7819,5.64025
67000,4,18.9792,3.03281,-1.07305,6.71506
68000,0,0,0,0,0
68000,1,-0.673739,-0.234353,11.5774,-33.3956
68000,2,0.551638,0.834157,-24.8352,16.4307
68000,3,2.16324,4.73211,-11.8746,5.44175
68000,4,18.972,3.07769,-1.08893,6.71251
69000,0,0,0,0,0
69000,1,-0.561307,-0.44087,21.7529,-27.833
69000,2,0.375825,0.926787,-27.5941,11.1926
69000,3,2.08356,4.76782,-11.964,5.24173
69000,4,18.9646,3.12255,-1.10479,6.70992
70000,0,0,0,0,0
70000,1,-0.388227,-0.599765,29.558,-19.2804
70000,2,0.185165,0.982805,-29.2627,5.51252
70000,3,2.0033,4.80218,-12.0501,5.04024
70000,4,18.9572,3.1674,-1.12065,6.70729
71000,0,0,0,0,0
71000,1,-0.173314,-0.694059,34.1586,-8.68358
71000,2,-0.0128089,0.999998,-29.7753,-0.3854
71000,3,1.92247,4.8352,-12.1327,4.83734
71000,4,18.9496,3.21222,-1.13651,6.70463
72000,0,0,0,0,0
72000,1,0.0602158,-0.713874,35.0825,2.80011
72000,2,-0.210276,0.977685,-29.1115,-6.26857
72000,3,1.8411,4.86685,-12.212,4.63309
